t	H	V	P	 T
0.1	868.293	-77.435	0	606.965
0.2	868.279	-266.378	0	728.22
0.3	868.283	-355.347	0	785.322
0.4	868.288	-323.246	0	764.723
0.5	868.289	-308.104	0	755.006
0.6	868.289	-263.208	0	726.191
0.7	868.289	-219.309	0	698.017
0.8	868.289	-188.896	8.07551	678.498
0.9	868.29	-142.103	15.2603	648.467
1	868.29	-151.669	0	654.606
1.1	868.289	-130.394	4.657	640.952
1.2	868.29	-119.419	5.86775	633.909
1.3	868.29	-106.01	5.74729	625.303
1.4	868.288	-98.1733	2.45875	620.272
1.5	868.288	-65.4926	16.747	599.298
1.6	868.287	-62.516	23.9357	597.387
1.7	868.29	-25.9762	41.8584	573.937
1.8	868.289	-44.3748	30.5147	585.745
1.9	868.29	-42.1747	28.6893	584.333
2	868.29	-37.8865	34.8128	581.581
2.1	868.289	-30.0337	29.9458	576.541
2.2	868.289	-56.8609	23.066	593.758
2.3	868.288	-59.3044	17.7495	595.326
2.4	868.289	-61.1573	8.79943	596.516
2.5	868.288	-45.0082	26.2827	586.151
2.6	868.289	-45.2434	31.1544	586.302
2.7	868.291	-25.2626	27.9913	573.48
2.8	868.289	-62.8015	13.2995	597.571
2.9	868.29	-37.6342	31.4082	581.419
3	868.289	-20.1469	46.1753	570.196
3.1	868.288	-48.8544	27.6627	588.619
3.2	868.289	-56.9537	18.4703	593.818
3.3	868.289	-70.8946	8.5997	602.765
3.4	868.291	-61.0392	7.27905	596.441
3.5	868.29	-67.3816	10.7899	600.511
3.6	868.291	-52.8088	4.51584	591.159
3.7	868.289	-70.2017	12.1595	602.321
3.8	868.291	-27.745	9.98863	575.073
3.9	868.291	-39.2156	18.8806	582.435
4	868.289	-72.0463	12.2223	603.505
4.1	868.289	-51.7062	14.8559	590.45
4.2	868.289	-43.2899	10.4913	585.049
4.3	868.29	-60.4959	7.59334	596.092
4.4	868.29	-62.2583	12.1785	597.223
4.5	868.29	-60.3625	5.63603	596.006
4.6	868.291	-43.3608	11.1895	585.096
4.7	868.29	-56.7599	2.17392	593.694
4.8	868.29	-37.204	5.1399	581.143
4.9	868.29	-54.5747	5.39385	592.292
5	868.289	-51.8228	13.92	590.525
5.1	868.288	-45.2423	18.7628	586.301
5.2	868.29	-29.3167	15.4207	576.081
5.3	868.29	-58.2683	2.73988	594.663
5.4	868.29	-37.3147	10.6464	581.215
5.5	868.291	-36.1255	18.612	580.452
5.6	868.291	-57.0878	8.66085	593.905
5.7	868.291	-44.7512	4.47203	585.988
5.8	868.286	-25.8525	11.09	573.856
5.9	868.288	-41.477	16.0197	583.885
6	868.286	-52.8676	11.0225	591.194
6.1	868.288	-40.7323	14.8576	583.407
6.2	868.288	-57.8398	10.21	594.386
6.3	868.289	-37.1584	20.8759	581.113
6.4	868.287	-3.97756	26.2219	559.817
6.5	868.287	-48.2295	10.6289	588.218
6.6	868.288	-52.1021	5.28687	590.704
6.7	868.288	-27.3812	11.8412	574.838
6.8	868.289	-21.631	10.361	571.148
6.9	868.288	-47.1269	4.52723	587.511
7	868.289	-51.6323	7.71171	590.403
7.1	868.289	-56.7923	5.85811	593.714
7.2	868.289	-47.2701	11.0939	587.603
7.3	868.29	-25.493	13.0835	573.627
7.4	868.289	-28.3357	18.2007	575.451
7.5	868.287	-41.9737	14.3961	584.202
7.6	868.289	-47.0036	15.258	587.432
7.7	868.29	-12.433	15.4001	565.245
7.8	868.29	-44.3395	5.06401	585.723
7.9	868.289	-29.608	19.5986	576.267
8	868.284	-33.9541	18.1186	579.053
8.1	868.287	2.49292	20.8614	555.664
8.2	868.286	-47.7932	5.05081	587.937
8.3	868.286	-52.1102	7.52114	590.708
8.4	868.286	-49.3899	6.87567	588.961
8.5	868.287	-33.165	10.8024	578.549
8.6	868.286	-49.7297	3.40723	589.18
8.7	868.286	-35.8472	14.7286	580.27
8.8	868.286	21.4909	35.8407	543.47
8.9	868.284	-33.8986	12.3356	579.018
9	868.285	-50.4897	0.984281	589.667
9.1	868.286	-35.5197	9.18772	580.06
9.2	868.285	-51.9338	7.16484	590.594
9.3	868.285	-23.7462	17.3858	572.503
9.4	868.284	-25.1209	14.9553	573.385
9.5	868.283	-11.5763	16.0211	564.691
9.6	868.284	-35.0722	13.4562	579.771
9.7	868.285	-39.9393	7.1752	582.895
9.8	868.284	-37.1524	8.87432	581.107
9.9	868.285	-37.809	9.14394	581.528
10	868.285	-28.4015	12.1412	575.491
10.1	868.283	-44.8151	9.75239	586.024
10.2	868.285	-30.0134	9.6692	576.525
10.3	868.285	-18.7911	25.9276	569.323
