t	H	V	P	 T
0.1	99.5025	-356.36	0	292.572
0.2	99.4958	-369.016	0	300.689
0.3	99.4957	-423.674	0	335.769
0.4	99.4969	-417.643	0	331.899
0.5	99.4975	-399.319	0	320.139
0.6	99.4977	-369.228	0	300.827
0.7	99.498	-328.274	0	274.543
0.8	99.4979	-299.973	0	256.38
0.9	99.498	-275.131	0	240.436
1	99.4977	-257.069	0.414314	228.843
1.1	99.4982	-234.137	6.32429	214.126
1.2	99.4983	-227.841	0	210.086
1.3	99.4981	-217.838	0	203.665
1.4	99.4983	-201.718	3.08462	193.32
1.5	99.4984	-192.299	3.42723	187.274
1.6	99.4984	-189.143	0	185.25
1.7	99.4985	-181.312	0	180.223
1.8	99.4985	-175.715	3.37955	176.631
1.9	99.4983	-174.396	2.34017	175.785
2	99.4987	-164.952	0	169.724
2.1	99.4984	-166.423	0	170.667
2.2	99.4986	-160.079	3.1068	166.596
2.3	99.4983	-157.651	6.36936	165.038
2.4	99.4983	-155.578	5.35286	163.707
2.5	99.4985	-156.461	2.61821	164.274
2.6	99.4985	-156.173	1.45323	164.089
2.7	99.4987	-150.352	8.07138	160.354
2.8	99.4982	-154.238	11.1359	162.847
2.9	99.4979	-153.549	7.83194	162.405
3	99.498	-149.069	8.3045	159.529
3.1	99.4978	-158.125	2.85309	165.342
3.2	99.4977	-158.528	1.73811	165.6
3.3	99.4979	-150.917	7.50021	160.716
3.4	99.4976	-157.164	1.71979	164.725
3.5	99.4982	-148.028	4.33591	158.862
3.6	99.4973	-155.525	5.32819	163.672
3.7	99.4977	-147.664	8.0281	158.628
3.8	99.4976	-156.271	2.11838	164.152
3.9	99.4978	-155.189	5.40955	163.457
4	99.4975	-158.373	0.203481	165.5
4.1	99.4975	-153.873	2.47692	162.613
4.2	99.4977	-150.971	6.82967	160.75
4.3	99.4976	-154.185	0.832817	162.813
4.4	99.4976	-156.757	3.11951	164.464
4.5	99.4976	-155.143	2.35003	163.428
4.6	99.4974	-156.641	0.362127	164.389
4.7	99.4978	-146.979	2.55509	158.188
4.8	99.4975	-153.13	0	162.136
4.9	99.4977	-150.767	0	160.619
5	99.4977	-147.127	0	158.283
5.1	99.4977	-143.421	0.917249	155.904
5.2	99.4976	-142.892	0.147499	155.565
5.3	99.4976	-139.639	1.10352	153.477
5.4	99.4974	-139.503	1.36119	153.39
5.5	99.4977	-129.432	1.97354	146.926
5.6	99.4974	-131.604	1.72439	148.32
5.7	99.4977	-136.315	2.48295	151.344
5.8	99.4978	-132.639	1.57468	148.985
5.9	99.4978	-137.423	2.57698	152.055
6	99.4978	-138.108	1.98542	152.495
6.1	99.498	-130.278	1.67624	147.469
6.2	99.4977	-141.716	0	154.81
6.3	99.4978	-140.582	0	154.083
6.4	99.4978	-130.192	2.82113	147.414
6.5	99.4977	-135.498	3.46848	150.819
6.6	99.4978	-142.613	0.0746768	155.386
6.7	99.4978	-142.388	0.07821	155.241
6.8	99.4978	-134.963	0	150.476
6.9	99.4978	-130.467	0	147.591
7	99.4978	-131.349	0	148.157
7.1	99.4979	-126.478	5.19229	145.031
7.2	99.4977	-129.53	1.40287	146.989
7.3	99.4978	-131.638	0	148.342
7.4	99.4978	-130.255	0	147.455
7.5	99.4977	-122.643	2.55385	142.569
7.6	99.4976	-127.069	5.28751	145.41
7.7	99.498	-132.664	2.65843	149.001
7.8	99.4977	-127.067	3.32884	145.408
7.9	99.4975	-129.341	2.23899	146.868
8	99.4981	-122.51	0	142.484
8.1	99.4978	-123.291	0.0017658	142.985
8.2	99.4978	-125.63	2.07723	144.486
8.3	99.4984	-118.843	0.712501	140.131
8.4	99.4979	-124.072	3.62574	143.487
8.5	99.498	-120.713	0	141.331
8.6	99.4978	-120.205	0.0107719	141.005
8.7	99.498	-112.788	1.42621	136.245
8.8	99.4979	-114.126	2.24135	137.103
8.9	99.4978	-113.065	3.32787	136.422
9	99.4978	-112.099	4.38989	135.802
9.1	99.4981	-109.367	0.438961	134.049
9.2	99.4979	-115.664	1.39816	138.09
9.3	99.4979	-115.735	3.4778	138.136
9.4	99.4978	-115.569	3.39283	138.029
9.5	99.498	-102.198	9.52492	129.448
9.6	99.4975	-113.136	7.15176	136.467
9.7	99.4979	-117.001	2.60242	138.948
9.8	99.4977	-124.248	3.16806	143.599
9.9	99.4976	-115.096	7.88921	137.726
10	99.4975	-115.984	5.41283	138.295
10.1	99.4978	-117.06	4.72417	138.986
10.2	99.4977	-119.385	3.70974	140.478
10.3	99.4977	-121.665	2.4339	141.941
